Date,Open,High,Low,Close,Adj Close,Volume
16-02-2011,4.62,4.994,4.614,4.946,4.946,20575500
17-02-2011,4.926,5.098,4.71,4.72,4.72,13092000
18-02-2011,4.666,4.698,4.592,4.636,4.636,11853500
22-02-2011,4.576,4.6,4.356,4.374,4.374,10323000
23-02-2011,4.436,4.5,4.222,4.366,4.366,8028000
24-02-2011,4.356,4.516,4.3,4.506,4.506,5276500
25-02-2011,4.562,4.77,4.538,4.722,4.722,6731500
28-02-2011,4.748,4.82,4.7,4.778,4.778,5256000
01-03-2011,4.81,4.864,4.74,4.788,4.788,5532000
02-03-2011,4.764,4.856,4.746,4.804,4.804,3316500
03-03-2011,4.896,4.958,4.812,4.872,4.872,3201000
04-03-2011,4.896,4.998,4.756,4.99,4.99,7900500
07-03-2011,4.986,5.08,4.94,4.988,4.988,10168000
08-03-2011,4.92,4.992,4.8,4.932,4.932,6999500
09-03-2011,4.932,4.998,4.854,4.944,4.944,4624000
10-03-2011,4.888,4.898,4.746,4.802,4.802,5085000
11-03-2011,4.77,4.85,4.706,4.814,4.814,4654000
14-03-2011,4.764,4.8,4.64,4.65,4.65,5830000
15-03-2011,4.44,4.592,4.36,4.59,4.59,6594000
16-03-2011,4.572,4.65,4.538,4.564,4.564,5848500
17-03-2011,4.648,4.686,4.528,4.562,4.562,4613000
18-03-2011,4.638,4.638,4.502,4.592,4.592,3439500
21-03-2011,4.61,4.61,4.508,4.546,4.546,2058500
22-03-2011,4.546,4.572,4.4,4.438,4.438,2914500
23-03-2011,4.422,4.454,4.354,4.442,4.442,2114000
24-03-2011,4.428,4.476,4.396,4.466,4.466,2311000
25-03-2011,4.486,4.6,4.48,4.55,4.55,2840000
28-03-2011,4.54,4.708,4.51,4.65,4.65,5290500
29-03-2011,4.66,4.8,4.642,4.784,4.784,3777000
30-03-2011,4.822,4.898,4.602,4.742,4.742,6116500
31-03-2011,5.31,5.742,5.3,5.55,5.55,57589000
01-04-2011,5.49,5.636,5.314,5.332,5.332,14324000
04-04-2011,5.366,5.4,5.046,5.166,5.166,13046500
05-04-2011,5.18,5.4,5.138,5.34,5.34,15904500
06-04-2011,5.398,5.402,5.16,5.298,5.298,6441500
07-04-2011,5.37,5.588,5.29,5.448,5.448,14051500
08-04-2011,5.516,5.52,5.272,5.298,5.298,9732000
11-04-2011,5.294,5.306,5.004,5.054,5.054,6847000
12-04-2011,5.016,5.042,4.86,4.93,4.93,6787000
13-04-2011,5.026,5.138,4.962,4.986,4.986,6057500
14-04-2011,4.974,5.056,4.84,5.028,5.028,4917000
15-04-2011,5.13,5.236,5.082,5.116,5.116,4717500
18-04-2011,5.026,5.124,4.872,5.006,5.006,5169500
19-04-2011,5.052,5.052,4.93,5.032,5.032,2743500
20-04-2011,5.14,5.218,5.06,5.15,5.15,4186000
21-04-2011,5.17,5.396,5.118,5.348,5.348,6930500
25-04-2011,5.34,5.346,5.194,5.278,5.278,4004500
26-04-2011,5.332,5.45,5.262,5.386,5.386,7000000
27-04-2011,5.386,5.472,5.326,5.416,5.416,4984500
28-04-2011,5.414,5.538,5.344,5.532,5.532,8000000
29-04-2011,5.538,5.574,5.484,5.52,5.52,3630000
02-05-2011,5.52,5.56,5.412,5.49,5.49,3923000
03-05-2011,5.476,5.478,5.3,5.374,5.374,4569500
04-05-2011,5.356,5.4,5.15,5.338,5.338,5222500
05-05-2011,5.44,5.488,5.234,5.288,5.288,6092500
06-05-2011,5.38,5.54,5.324,5.424,5.424,4908500
09-05-2011,5.4,5.6,5.37,5.582,5.582,4582000
10-05-2011,5.648,5.79,5.582,5.666,5.666,7676500
11-05-2011,5.64,5.66,5.384,5.414,5.414,4812500
12-05-2011,5.414,5.548,5.33,5.534,5.534,3140000
13-05-2011,5.6,5.638,5.46,5.51,5.51,3307500
16-05-2011,5.598,5.598,5.31,5.32,5.32,3778500
17-05-2011,5.4,5.4,5.144,5.192,5.192,6171000
18-05-2011,5.22,5.294,5.104,5.27,5.27,3647500
19-05-2011,5.406,5.688,5.32,5.64,5.64,13275500
20-05-2011,5.652,5.656,5.47,5.594,5.594,4212500
23-05-2011,5.524,5.524,5.324,5.364,5.364,4318000
24-05-2011,5.404,5.5,5.32,5.344,5.344,3068500
25-05-2011,5.38,5.802,5.234,5.796,5.796,23465500
26-05-2011,5.764,5.952,5.62,5.896,5.896,16684500
27-05-2011,5.908,5.934,5.764,5.91,5.91,8435500
31-05-2011,5.938,6.056,5.91,6.028,6.028,16452500
01-06-2011,6,6.02,5.676,5.704,5.704,7649500
02-06-2011,5.704,5.864,5.702,5.752,5.752,4931500
03-06-2011,5.99,6.3,5.9,6.026,6.026,31046000
06-06-2011,6.02,6.026,5.652,5.74,5.74,11655500
07-06-2011,5.788,5.878,5.652,5.674,5.674,6110500
08-06-2011,5.688,5.72,5.404,5.424,5.424,8479500
09-06-2011,5.486,5.62,5.42,5.524,5.524,8016000
10-06-2011,5.504,5.66,5.47,5.572,5.572,7833000
13-06-2011,5.614,5.776,5.576,5.686,5.686,8567000
14-06-2011,5.708,5.94,5.704,5.72,5.72,7867000
15-06-2011,5.688,5.69,5.414,5.464,5.464,6725000
16-06-2011,5.534,5.6,5.148,5.3,5.3,9211000
17-06-2011,5.374,5.54,5.228,5.3,5.3,8570000
20-06-2011,5.258,5.292,5.1,5.202,5.202,7689000
21-06-2011,5.248,5.546,5.2,5.506,5.506,7480000
22-06-2011,5.474,5.65,5.42,5.442,5.442,7378000
23-06-2011,5.44,5.544,5.242,5.542,5.542,5850000
24-06-2011,5.528,5.594,5.452,5.514,5.514,18042500
27-06-2011,5.546,5.656,5.462,5.492,5.492,9047000
28-06-2011,5.558,5.65,5.534,5.622,5.622,4446000
29-06-2011,5.7,5.818,5.614,5.658,5.658,7309000
30-06-2011,5.7,5.866,5.68,5.826,5.826,4733500
01-07-2011,5.814,5.92,5.76,5.804,5.804,4274500
05-07-2011,5.804,5.904,5.742,5.828,5.828,4980000
06-07-2011,5.828,5.828,5.71,5.792,5.792,4634500
07-07-2011,5.828,6,5.802,5.946,5.946,6639500
08-07-2011,5.978,5.978,5.718,5.762,5.762,6203000
11-07-2011,5.68,5.706,5.6,5.67,5.67,4879000
12-07-2011,5.674,5.818,5.6,5.634,5.634,5227000
13-07-2011,5.686,5.806,5.58,5.728,5.728,5330000
14-07-2011,5.706,5.792,5.45,5.522,5.522,5795000
15-07-2011,5.558,5.566,5.48,5.516,5.516,3545000
18-07-2011,5.468,5.49,5.326,5.446,5.446,4259500
19-07-2011,5.516,5.622,5.508,5.578,5.578,5130500
20-07-2011,5.6,6.088,5.56,5.738,5.738,15241500
21-07-2011,5.782,5.832,5.62,5.74,5.74,5057500
22-07-2011,5.74,5.908,5.71,5.858,5.858,2917500
25-07-2011,5.802,5.85,5.688,5.698,5.698,3366500
26-07-2011,5.662,5.754,5.594,5.6,5.6,3803000
27-07-2011,5.7,5.7,5.502,5.528,5.528,4792500
28-07-2011,5.52,5.71,5.508,5.634,5.634,4693500
29-07-2011,5.56,5.68,5.5,5.634,5.634,4741000
01-08-2011,5.734,5.796,5.642,5.754,5.754,5824500
02-08-2011,5.738,5.84,5.454,5.468,5.468,7747000
03-08-2011,5.5,5.566,5.268,5.44,5.44,8972500
04-08-2011,5.302,5.378,4.934,4.95,4.95,15322500
05-08-2011,4.998,5.076,4.566,4.848,4.848,9822000
08-08-2011,4.62,4.888,4.62,4.728,4.728,13042500
09-08-2011,4.83,5.09,4.74,5.012,5.012,6667000
10-08-2011,5.088,5.088,4.726,4.764,4.764,7821000
11-08-2011,4.808,5.15,4.8,5.06,5.06,4182500
12-08-2011,5.12,5.428,5.072,5.262,5.262,5045500
15-08-2011,5.324,5.35,5.186,5.246,5.246,3693000
16-08-2011,5.226,5.308,5.166,5.22,5.22,2688500
17-08-2011,5.278,5.33,5.102,5.166,5.166,3218500
18-08-2011,5,5.03,4.694,4.852,4.852,5283000
19-08-2011,4.772,4.844,4.4,4.46,4.46,6876500
22-08-2011,4.622,4.76,4.336,4.39,4.39,4930500
23-08-2011,4.386,4.622,4.3,4.592,4.592,4345000
24-08-2011,4.62,4.786,4.566,4.774,4.774,3421500
25-08-2011,4.774,4.774,4.58,4.622,4.622,3399000
26-08-2011,4.542,4.79,4.414,4.746,4.746,3809000
29-08-2011,4.844,4.97,4.804,4.942,4.942,4017000
30-08-2011,4.9,4.954,4.818,4.926,4.926,1831000
31-08-2011,4.96,5.1,4.856,4.948,4.948,4119000
01-09-2011,4.932,4.974,4.768,4.8,4.8,4240500
02-09-2011,4.732,4.798,4.536,4.614,4.614,3849500
06-09-2011,4.5,4.64,4.458,4.588,4.588,4049000
07-09-2011,4.678,4.8,4.656,4.768,4.768,2296000
08-09-2011,4.716,4.806,4.656,4.722,4.722,2528500
09-09-2011,4.674,4.714,4.51,4.594,4.594,3346500
12-09-2011,4.5,4.662,4.49,4.576,4.576,2833000
13-09-2011,4.602,4.82,4.55,4.816,4.816,3632500
14-09-2011,4.85,4.968,4.758,4.868,4.868,4154000
15-09-2011,4.916,4.986,4.866,4.964,4.964,2813000
16-09-2011,4.956,5.168,4.898,5.16,5.16,7085500
19-09-2011,4.99,5.162,4.764,5.154,5.154,5787000
20-09-2011,5.196,5.32,5.134,5.202,5.202,5902000
21-09-2011,5.19,5.39,5.14,5.17,5.17,4938000
22-09-2011,5.128,5.222,4.976,5.126,5.126,3879000
23-09-2011,5.098,5.324,5.07,5.276,5.276,5782000
26-09-2011,5.304,5.304,4.98,5.104,5.104,4674000
27-09-2011,5.2,5.398,5.114,5.238,5.238,3372500
28-09-2011,5.2,5.3,4.902,4.918,4.918,3616500
29-09-2011,5.144,5.164,4.71,4.824,4.824,4648000
30-09-2011,4.96,4.978,4.698,4.878,4.878,6680500
03-10-2011,4.99,5,4.65,4.746,4.746,5116000
04-10-2011,4.658,4.864,4.586,4.732,4.732,6001500
05-10-2011,4.806,5.168,4.67,5.074,5.074,6147500
06-10-2011,5.074,5.52,5.004,5.392,5.392,8845500
07-10-2011,5.396,5.52,5.21,5.398,5.398,6558000
10-10-2011,5.462,5.636,5.4,5.576,5.576,4617500
11-10-2011,5.502,5.554,5.418,5.522,5.522,2878500
12-10-2011,5.45,5.6,5.44,5.56,5.56,5617000
13-10-2011,5.526,5.694,5.488,5.588,5.588,5217500
14-10-2011,5.6,5.71,5.452,5.61,5.61,7002500
17-10-2011,5.572,5.6,5.452,5.484,5.484,3772500
18-10-2011,5.46,5.686,5.342,5.668,5.668,4998500
19-10-2011,5.604,5.612,5.46,5.514,5.514,3964500
20-10-2011,5.488,5.494,5.4,5.468,5.468,4998500
21-10-2011,5.48,5.66,5.402,5.606,5.606,5713000
24-10-2011,5.574,5.778,5.55,5.71,5.71,4703000
25-10-2011,5.646,5.772,5.56,5.65,5.65,3272000
26-10-2011,5.638,5.674,5.48,5.596,5.596,2552500
27-10-2011,5.668,5.79,5.622,5.752,5.752,4347000
28-10-2011,5.7,6,5.602,5.974,5.974,6320000
31-10-2011,5.9,5.902,5.75,5.874,5.874,5670000
01-11-2011,5.678,5.784,5.6,5.776,5.776,3176000
02-11-2011,5.8,5.852,5.65,5.742,5.742,4376500
03-11-2011,6,6.498,5.906,6.492,6.492,12548500
04-11-2011,6.292,6.48,6.102,6.462,6.462,15164500
07-11-2011,6.328,6.4,6.15,6.254,6.254,6331500
08-11-2011,6.274,6.4,6.144,6.368,6.368,5839500
09-11-2011,6.174,6.298,6.06,6.176,6.176,4768500
10-11-2011,6.188,6.3,6.13,6.266,6.266,3736500
11-11-2011,6.38,6.9,6.114,6.728,6.728,19341500
14-11-2011,6.6,6.708,6.524,6.644,6.644,6628500
15-11-2011,6.584,6.88,6.546,6.786,6.786,4455000
16-11-2011,6.696,7,6.68,6.988,6.988,9166000
17-11-2011,6.9,6.98,6.638,6.736,6.736,6746500
18-11-2011,6.728,6.822,6.508,6.52,6.52,4514000
21-11-2011,6.488,6.488,6.21,6.352,6.352,5158000
22-11-2011,6.352,6.558,6.21,6.414,6.414,3663000
23-11-2011,6.352,6.41,6.25,6.29,6.29,2259000
25-11-2011,6.31,6.482,6.216,6.332,6.332,1198000
28-11-2011,6.4,6.656,6.362,6.512,6.512,3406000
29-11-2011,6.498,6.614,6.326,6.35,6.35,2955500
30-11-2011,6.5,6.586,6.444,6.548,6.548,3801500
01-12-2011,6.514,6.798,6.396,6.52,6.52,5151000
02-12-2011,6.566,6.738,6.48,6.66,6.66,4014000
05-12-2011,6.706,7,6.686,6.884,6.884,5800500
06-12-2011,6.84,6.996,6.806,6.974,6.974,4759000
07-12-2011,6.926,6.978,6.76,6.838,6.838,3371500
08-12-2011,6.168,6.33,5.922,6.178,6.178,16529000
09-12-2011,6.108,6.224,6.056,6.208,6.208,6197500
12-12-2011,6.088,6.124,6.004,6.082,6.082,3793500
13-12-2011,6.114,6.186,5.782,5.89,5.89,4970500
14-12-2011,5.9,5.936,5.6,5.706,5.706,5819500
15-12-2011,5.734,5.834,5.624,5.724,5.724,3501500
16-12-2011,5.758,5.786,5.596,5.6,5.6,5148500
19-12-2011,5.618,5.7,5.474,5.55,5.55,4935000
20-12-2011,5.61,5.69,5.544,5.58,5.58,4216500
21-12-2011,5.582,5.614,5.206,5.514,5.514,8527500
22-12-2011,5.52,5.61,5.46,5.554,5.554,5047000
23-12-2011,5.6,5.6,5.504,5.58,5.58,2957000
27-12-2011,5.532,5.754,5.528,5.714,5.714,3887500
28-12-2011,5.798,5.848,5.608,5.702,5.702,2876000
29-12-2011,5.718,5.868,5.71,5.746,5.746,2441000
30-12-2011,5.698,5.796,5.65,5.712,5.712,1699000
03-01-2012,5.788,5.9,5.53,5.616,5.616,4640500
04-01-2012,5.642,5.734,5.5,5.542,5.542,3150500
05-01-2012,5.552,5.586,5.37,5.424,5.424,5027500
06-01-2012,5.44,5.558,5.282,5.382,5.382,4931500
09-01-2012,5.4,5.498,5.224,5.45,5.45,4485000
10-01-2012,5.488,5.552,5.45,5.524,5.524,3359000
11-01-2012,5.524,5.676,5.46,5.646,5.646,3361500
12-01-2012,5.696,5.724,5.562,5.65,5.65,3646500
13-01-2012,5.68,5.7,4.528,4.558,4.558,27502000
17-01-2012,5.324,5.468,5.282,5.32,5.32,23258000
18-01-2012,5.338,5.376,5.25,5.362,5.362,6301000
19-01-2012,5.438,5.548,5.322,5.352,5.352,6231500
20-01-2012,5.38,5.4,5.28,5.32,5.32,3311500
23-01-2012,5.362,5.442,5.32,5.354,5.354,2973000
24-01-2012,5.326,5.536,5.288,5.484,5.484,4290000
25-01-2012,5.454,5.602,5.41,5.594,5.594,3056000
26-01-2012,5.614,5.916,5.6,5.788,5.788,6355500
27-01-2012,5.7,5.944,5.7,5.866,5.866,3742000
30-01-2012,5.898,5.922,5.706,5.914,5.914,3645000
31-01-2012,5.98,6,5.774,5.814,5.814,4782000
01-02-2012,5.814,5.94,5.8,5.916,5.916,2616000
02-02-2012,5.944,6.176,5.922,6.05,6.05,4028500
03-02-2012,6.082,6.266,6.05,6.23,6.23,3822500
06-02-2012,6.22,6.38,6.21,6.36,6.36,3260500
07-02-2012,6.36,6.36,6.164,6.32,6.32,5108000
08-02-2012,6.32,6.402,6.258,6.386,6.386,3118500
09-02-2012,6.4,6.58,6.286,6.516,6.516,6385500
10-02-2012,6.452,6.454,5.968,6.22,6.22,9371000
13-02-2012,6.31,6.412,6.18,6.298,6.298,5789500
14-02-2012,6.348,6.758,6.28,6.634,6.634,9054000
15-02-2012,6.62,6.882,6.454,6.72,6.72,13809000
16-02-2012,6.7,6.902,6.508,6.836,6.836,11098500
17-02-2012,6.798,6.994,6.7,6.994,6.994,6883500
21-02-2012,6.974,6.974,6.762,6.9,6.9,5679000
22-02-2012,6.9,6.944,6.5,6.844,6.844,8273000
23-02-2012,6.798,6.994,6.712,6.906,6.906,4102000
24-02-2012,6.846,6.904,6.654,6.75,6.75,4799500
27-02-2012,6.682,6.8,6.6,6.724,6.724,3030000
28-02-2012,6.728,6.888,6.634,6.762,6.762,3061000
29-02-2012,6.762,6.824,6.628,6.682,6.682,2678500
01-03-2012,6.702,6.9,6.662,6.882,6.882,3517500
02-03-2012,6.88,6.9,6.742,6.808,6.808,2750000
05-03-2012,6.87,6.88,6.692,6.754,6.754,2335000
06-03-2012,6.65,6.656,6.524,6.622,6.622,2869000
07-03-2012,6.624,6.662,6.582,6.624,6.624,1824500
08-03-2012,6.622,6.698,6.608,6.614,6.614,3166500
09-03-2012,6.64,7.062,6.64,6.948,6.948,7767000
12-03-2012,6.938,7.258,6.92,7.202,7.202,9816500
13-03-2012,7.302,7.318,7.1,7.218,7.218,5008000
14-03-2012,7.2,7.2,6.96,7.058,7.058,4257500
15-03-2012,7.056,7.096,6.956,7,7,2858000
16-03-2012,6.98,7.178,6.966,7.064,7.064,3646500
19-03-2012,7.052,7.064,6.908,6.996,6.996,5078000
20-03-2012,6.996,7.04,6.914,6.992,6.992,2835000
21-03-2012,6.988,7.06,6.92,7.03,7.03,3036000
22-03-2012,6.994,7.03,6.86,6.88,6.88,2612000
23-03-2012,6.852,6.926,6.63,6.816,6.816,5853000
26-03-2012,7.118,7.618,7.008,7.48,7.48,15702500
27-03-2012,7.432,7.99,7.406,7.588,7.588,12696000
28-03-2012,7.556,7.688,7.422,7.57,7.57,4775000
29-03-2012,7.638,7.638,7.406,7.466,7.466,3982000
30-03-2012,7.504,7.588,7.336,7.448,7.448,4432000
02-04-2012,7.466,7.594,7.306,7.316,7.316,5143000
03-04-2012,7.34,7.694,7.334,7.602,7.602,5490500
04-04-2012,7.054,7.098,6.938,7,7,22409000
05-04-2012,7.02,7.088,6.882,6.896,6.896,7547000
09-04-2012,6.82,6.858,6.62,6.63,6.63,8278500
10-04-2012,6.63,6.77,6.42,6.492,6.492,9238500
11-04-2012,6.648,6.658,6.402,6.618,6.618,5527500
